name,reason,smiles
beta-glycerophosphoric-acid,qc_incompatible,
beta-hydroxy-beta-methylbutyrate,multi_fragment_structure,CC(C)(O)CC(O)=O.CC(C)(O)CC(O)=O
beta-hydroxybutyrate,qc_incompatible,
betaine,qc_incompatible,
bis(maltolato)oxovanadium(IV),unsupported_docking_elements:V,Cc1occc(=O)c1O[V](=O)Oc1c(C)occc1=O
bis(maltolato)oxovanadium(IV),unsupported_docking_elements:V,Cc1occc(=O)c1O[V](=O)Oc1c(C)occc1=O
bis(maltolato)oxovanadium(IV),unsupported_docking_elements:V,Cc1occc(=O)c1O[V](=O)Oc1c(C)occc1=O
bis(maltolato)oxovanadium(IV),unsupported_docking_elements:V,Cc1occc(=O)c1O[V](=O)Oc1c(C)occc1=O
bismuth-oxalate,qc_incompatible,
bismuth-subcitrate-potassium,unsupported_docking_elements:Bi,"OC(=O)C[C@](O)(CC(=O)O[Bi]1OC(=O)C[C@@](O)(CC(O)=O)C(=O)O1)C(O)=O |&1:4,&2:15|"
bismuth-subgallate,qc_incompatible,
bismuth-subsalicylate,qc_incompatible,
bismuth-subsalicylate,unsupported_docking_elements:Bi,O[Bi]1OC(=O)c2ccccc2O1
bismuth-subsalicylate,qc_incompatible,
bismuth-subsalicylate,qc_incompatible,
bismuth-subsalicylate,qc_incompatible,
bismuth(III)-trifluoromethanesulfonate,multi_fragment_structure,[Bi].OS(=O)(=O)C(F)(F)F.OS(=O)(=O)C(F)(F)F.OS(=O)(=O)C(F)(F)F
bornyl-acetate,qc_incompatible,
bornyl-acetate,qc_incompatible,
bronopol,qc_incompatible,
bronopol,qc_incompatible,
bucillamine,qc_incompatible,
bucillamine,qc_incompatible,
butylscopolamine-bromide,invalid_smiles,"CCCC[N@@+]1(C)[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)c1ccccc1 |a:6,8,10,11,13,17,&1:4,TLB:3:4:7.8.9:11.13,12:11:4:7.8.9,12:13:4:7.8.9,THB:5:4:7.8.9:11.13,14:8:4:11.13|"
C106,multi_fragment_structure,"CN1CCC[C@@H]1c1cccnc1.Cc1ccc(cc1)C(=O)O[C@@H]([C@@H](OC(=O)c1ccc(C)cc1)C(O)=O)C(O)=O |&1:5,&2:22,&3:23,r|"
C11-Acetate,qc_incompatible,
cabagin,qc_incompatible,
cabagin,qc_incompatible,
caprylic-acid,qc_incompatible,
caprylic-acid,qc_incompatible,
captamine,qc_incompatible,
captamine,qc_incompatible,
carbarsone,unsupported_docking_elements:As,NC(=O)Nc1ccc(cc1)[As](O)(O)=O
carbarsone,unsupported_docking_elements:As,NC(=O)Nc1ccc(cc1)[As](O)(O)=O
carboplatin,qc_incompatible,
carboplatin,qc_incompatible,
carboplatin,qc_incompatible,
carboplatin,qc_incompatible,
carboplatin,qc_incompatible,
carboplatin,qc_incompatible,
carboplatin,qc_incompatible,
carmustine,qc_incompatible,
carmustine,qc_incompatible,
cephalosporin-c-zn,unsupported_docking_elements:Zn,CC(=O)OCC1=C2N3[C@H](SC1)[C@H](NC(=O)CCC[C@H](N)C(=O)O[Zn]OC2=O)C3=O |t:5|
CGP-20712A,multi_fragment_structure,"CS(O)(=O)=O.Cn1cc(nc1-c1ccc(OC[C@H](O)CNCCOc2ccc(O)c(c2)C(N)=O)cc1)C(F)(F)F |&1:17,r|"
CGP-37849,qc_incompatible,
CGP-37849,qc_incompatible,
chlorobutanol,qc_incompatible,
chlorobutanol,qc_incompatible,
chlorobutanol,qc_incompatible,
chlorophyllin-copper,unsupported_docking_elements:Cu,"CCC1=C(C)\C2=C\c3c(C=C)c(C)c4\C=C5/N=C([C@@H](CCC(O)=O)[C@@H]5C)/C(/CC(O)=O)=c5/c(C(O)=O)c(C)\c(=C\C1=N2)n5[Cu]n34 |&1:18,&2:24,r,c:2,14,16,42,t:5,31,39|"
chlorophyllin-copper,unsupported_docking_elements:Cu,"CCC1=C(C)\C2=C\c3c(C=C)c(C)c4\C=C5/N=C([C@@H](CCC(O)=O)[C@@H]5C)/C(/CC(O)=O)=c5/c(C(O)=O)c(C)\c(=C\C1=N2)n5[Cu]n34 |&1:18,&2:24,r,c:2,14,16,42,t:5,31,39|"
chromanol-(+/-),multi_fragment_structure,CCS(=O)(=O)N(C)[C@@H]1[C@@H](O)C(C)(C)Oc2ccc(cc12)C#N.CCS(=O)(=O)N(C)[C@H]1[C@H](O)C(C)(C)Oc2ccc(cc12)C#N
chromium-picolinate,unsupported_docking_elements:Cr,O=C(O[Cr](OC(=O)c1ccccn1)OC(=O)c1ccccn1)c1ccccn1
chromium-picolinate,unsupported_docking_elements:Cr,O=C(O[Cr](OC(=O)c1ccccn1)OC(=O)c1ccccn1)c1ccccn1
ciaftalan-zinc,unsupported_docking_elements:Zn,"[Zn]1n2c3\N=C4/N=C(/N=c5\n1\c(=N/C1=N/C(=N\c2c2ccccc32)/c2ccccc12)c1ccccc51)c1ccccc41 |c:3,7,11,15,t:5,13|"
cimetropium,invalid_smiles,"C[N@@+]1(CC2CC2)[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)c1ccccc1 |a:6,8,10,11,13,17,&1:1,TLB:0:1:7.8.9:11.13,THB:2:1:7.8.9:11.13,12:11:1:7.8.9,12:13:1:7.8.9,14:8:1:11.13|"
cis-aconitic-acid,qc_incompatible,
cisplatin,qc_incompatible,
cisplatin,qc_incompatible,
cisplatin,qc_incompatible,
cisplatin,qc_incompatible,
cisplatin,qc_incompatible,
clidinium,invalid_smiles,"C[N+]12CCC(CC1)[C@@H](C2)OC(=O)C(O)(c1ccccc1)c1ccccc1 |&1:7,THB:9:7:2.3:5.6|"
clidinium,invalid_smiles,"C[N+]12CCC(CC1)[C@@H](C2)OC(=O)C(O)(c1ccccc1)c1ccccc1 |&1:7,THB:9:7:2.3:5.6|"
clidinium,invalid_smiles,"C[N+]12CCC(CC1)[C@@H](C2)OC(=O)C(O)(c1ccccc1)c1ccccc1 |&1:7,THB:9:7:2.3:5.6|"
clidinium,invalid_smiles,"C[N+]12CCC(CC1)[C@@H](C2)OC(=O)C(O)(c1ccccc1)c1ccccc1 |&1:7,THB:9:7:2.3:5.6|"
clodronic-acid,qc_incompatible,
clodronic-acid,qc_incompatible,
clodronic-acid,qc_incompatible,
clonixin-lysinate,qc_incompatible,
clonixin-lysinate,qc_incompatible,
clonixin-lysinate,qc_incompatible,
compound-58112,unsupported_docking_elements:Si,COc1cccc(CN2C[Si](C)(C)O[Si](C)(C)C2)c1
compound-58112,unsupported_docking_elements:Si,COc1cccc(CN2C[Si](C)(C)O[Si](C)(C)C2)c1
creatinol-phosphate,qc_incompatible,
creatinol-phosphate,qc_incompatible,
cromakalim,multi_fragment_structure,CC1(C)Oc2ccc(cc2[C@H]([C@@H]1O)N1CCCC1=O)C#N.CC1(C)Oc2ccc(cc2[C@@H]([C@H]1O)N1CCCC1=O)C#N
cromakalim,multi_fragment_structure,CC1(C)Oc2ccc(cc2[C@H]([C@@H]1O)N1CCCC1=O)C#N.CC1(C)Oc2ccc(cc2[C@@H]([C@H]1O)N1CCCC1=O)C#N
cyanocobalamin,unsupported_docking_elements:Co,"C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)O[P@@](O)(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)n1cnc2cc(C)c(C)cc12 |a:1,8,10,15,30,36,42,48,54,63,74,75,79,80,&1:70,c:16,20,24,t:22,26,29|"
cyanocobalamin,unsupported_docking_elements:Co,"C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)O[P@@](O)(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)n1cnc2cc(C)c(C)cc12 |a:1,8,10,15,30,36,42,48,54,63,74,75,79,80,&1:70,c:16,20,24,t:22,26,29|"
