library_id,name,wt_affinity,mut_affinity,delta_affinity,wt_dist,mut_dist,delta_dist,ghost_clash_dist,ghost_clash,pose_center_shift,selection_reason,wt_output,mut_output,score_version,ghost_warning,ghost_penalty,mutation_composite_score,rank_mutation_aware
LIB100_0041,relugolix,-5.744,-5.733,0.01100000000000012,5.782216971942983,5.784074599677902,0.001857627734919376,5.784074599677902,False,0.0158830199068662,prespecified_bms,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0041_wt.pdbqt,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0041_mut.pdbqt,mutation_composite_score_v1,none,0.0,2.709074928394687,12
LIB100_0031,BMS-986205,-7.724,-7.454,0.27000000000000046,3.463781898244158,2.6062349505117703,-0.8575469477323878,2.6062349505117703,False,1.5488479507183228,top20_wt;prespecified_bms,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0031_wt.pdbqt,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0031_mut.pdbqt,mutation_composite_score_v1,moderate,0.5,2.5268430810184253,13
LIB100_0082,Ro-3306,-6.355,-6.254,0.10100000000000087,3.4788020849244217,3.045483709516756,-0.4333183754076657,3.045483709516756,False,0.29539399046026166,prespecified_bms,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0082_wt.pdbqt,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0082_mut.pdbqt,mutation_composite_score_v1,moderate,0.5,2.2227097508713447,14
LIB100_0076,JNJ-42041935,-5.626,-5.501,0.125,3.601574808856457,3.639173949765359,0.037599140908901596,3.639173949765359,False,0.07476358471878349,prespecified_bms,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0076_wt.pdbqt,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0076_mut.pdbqt,mutation_composite_score_v1,none,0.0,1.7364566030361193,15
LIB100_0034,baloxavir,-5.038,-5.037,0.001000000000000334,7.1230042347421465,7.122544371501249,-0.00045986324089763997,7.122544371501249,False,0.051729800356243485,prespecified_bms,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0034_wt.pdbqt,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0034_mut.pdbqt,mutation_composite_score_v1,none,0.0,1.6756245736244733,16
LIB100_0013,meclocycline-sulfosalicylate,-5.059,-5.055,0.004000000000000448,11.779368484633988,11.351000582952619,-0.4283679016813693,11.351000582952619,False,0.05295385373140073,prespecified_bms,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0013_wt.pdbqt,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0013_mut.pdbqt,mutation_composite_score_v1,none,0.0,1.4583618395673394,17
LIB100_0011,halobetasol-propionate,-4.809,-4.818,-0.008999999999999453,6.546584616436758,6.542420285932674,-0.004164330504083935,6.542420285932674,False,0.01984660029455748,prespecified_bms,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0011_wt.pdbqt,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0011_mut.pdbqt,mutation_composite_score_v1,none,0.0,1.34645699770658,18
LIB100_0078,MCC950,-6.608,-7.803,-1.1950000000000003,2.706357201214717,1.039730232385439,-1.666626968829278,1.039730232385439,True,2.296409858969998,top20_wt;prespecified_bms,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0078_wt.pdbqt,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0078_mut.pdbqt,mutation_composite_score_v1,severe,2.0,1.2959062062505042,19
LIB100_0018,perfluorodecalin,-7.077,-6.626,0.4509999999999996,3.032297861696832,2.9285269555987243,-0.10377090609810757,2.9285269555987243,False,0.10814328764777548,top20_wt;prespecified_bms,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0018_wt.pdbqt,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0018_mut.pdbqt,mutation_composite_score_v1,moderate,0.5,1.2772796831887887,20
LIB100_0043,ADX-10059,-6.701,-7.766,-1.0650000000000004,3.538594959980743,1.4045107721419723,-2.134084187838771,1.4045107721419723,True,1.7885013908297787,top20_wt;prespecified_bms,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0043_wt.pdbqt,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0043_mut.pdbqt,mutation_composite_score_v1,severe,2.0,1.2762246336665712,21
